Group,feature,n_detected,n_total,Donor,gene_id,order
AB,DonA__EMOJOO_00005,10,10,DonA,EMOJOO_00005,first
AB,DonA__EMOJOO_00010,10,10,DonA,EMOJOO_00010,first
AB,DonA__EMOJOO_00015,10,10,DonA,EMOJOO_00015,first
AB,DonA__EMOJOO_00020,10,10,DonA,EMOJOO_00020,first
AB,DonA__EMOJOO_00035,10,10,DonA,EMOJOO_00035,first
AB,DonA__EMOJOO_00040,10,10,DonA,EMOJOO_00040,first
AB,DonA__EMOJOO_00045,10,10,DonA,EMOJOO_00045,first
AB,DonA__EMOJOO_00050,10,10,DonA,EMOJOO_00050,first
AB,DonA__EMOJOO_00055,10,10,DonA,EMOJOO_00055,first
AB,DonA__EMOJOO_00065,10,10,DonA,EMOJOO_00065,first
AB,DonA__EMOJOO_00070,10,10,DonA,EMOJOO_00070,first
AB,DonA__EMOJOO_00075,10,10,DonA,EMOJOO_00075,first
AB,DonA__EMOJOO_00080,10,10,DonA,EMOJOO_00080,first
AB,DonA__EMOJOO_00085,10,10,DonA,EMOJOO_00085,first
AB,DonA__EMOJOO_00090,10,10,DonA,EMOJOO_00090,first
AB,DonA__EMOJOO_00095,10,10,DonA,EMOJOO_00095,first
AB,DonA__EMOJOO_00110,10,10,DonA,EMOJOO_00110,first
AB,DonA__EMOJOO_00115,10,10,DonA,EMOJOO_00115,first
AB,DonA__EMOJOO_00120,10,10,DonA,EMOJOO_00120,first
AB,DonA__EMOJOO_00130,10,10,DonA,EMOJOO_00130,first
AB,DonA__EMOJOO_00145,10,10,DonA,EMOJOO_00145,first
AB,DonA__EMOJOO_00150,10,10,DonA,EMOJOO_00150,first
AB,DonA__EMOJOO_00155,10,10,DonA,EMOJOO_00155,first
AB,DonA__EMOJOO_00160,10,10,DonA,EMOJOO_00160,first
AB,DonA__EMOJOO_00165,10,10,DonA,EMOJOO_00165,first
AB,DonA__EMOJOO_00170,10,10,DonA,EMOJOO_00170,first
AB,DonA__EMOJOO_00175,10,10,DonA,EMOJOO_00175,first
AB,DonA__EMOJOO_00180,10,10,DonA,EMOJOO_00180,first
AB,DonA__EMOJOO_00190,10,10,DonA,EMOJOO_00190,first
AB,DonA__EMOJOO_00195,10,10,DonA,EMOJOO_00195,first
AB,DonA__EMOJOO_00200,10,10,DonA,EMOJOO_00200,first
AB,DonA__EMOJOO_00205,10,10,DonA,EMOJOO_00205,first
AB,DonA__EMOJOO_00210,10,10,DonA,EMOJOO_00210,first
AB,DonA__EMOJOO_00215,10,10,DonA,EMOJOO_00215,first
AB,DonA__EMOJOO_00220,10,10,DonA,EMOJOO_00220,first
AB,DonA__EMOJOO_00225,10,10,DonA,EMOJOO_00225,first
AB,DonA__EMOJOO_00230,10,10,DonA,EMOJOO_00230,first
AB,DonA__EMOJOO_00235,10,10,DonA,EMOJOO_00235,first
AB,DonA__EMOJOO_00240,10,10,DonA,EMOJOO_00240,first
AB,DonA__EMOJOO_00245,10,10,DonA,EMOJOO_00245,first
AB,DonA__EMOJOO_00250,10,10,DonA,EMOJOO_00250,first
AB,DonA__EMOJOO_00260,10,10,DonA,EMOJOO_00260,first
AB,DonA__EMOJOO_00265,10,10,DonA,EMOJOO_00265,first
AB,DonA__EMOJOO_00295,10,10,DonA,EMOJOO_00295,first
AB,DonA__EMOJOO_00315,10,10,DonA,EMOJOO_00315,first
AB,DonA__EMOJOO_00330,10,10,DonA,EMOJOO_00330,first
AB,DonA__EMOJOO_00335,10,10,DonA,EMOJOO_00335,first
AB,DonA__EMOJOO_00340,10,10,DonA,EMOJOO_00340,first
AB,DonA__EMOJOO_00345,10,10,DonA,EMOJOO_00345,first
AB,DonA__EMOJOO_00350,10,10,DonA,EMOJOO_00350,first
AB,DonA__EMOJOO_00355,10,10,DonA,EMOJOO_00355,first
AB,DonA__EMOJOO_00360,10,10,DonA,EMOJOO_00360,first
AB,DonA__EMOJOO_00365,10,10,DonA,EMOJOO_00365,first
AB,DonA__EMOJOO_00370,10,10,DonA,EMOJOO_00370,first
AB,DonA__EMOJOO_00375,10,10,DonA,EMOJOO_00375,first
AB,DonA__EMOJOO_00380,10,10,DonA,EMOJOO_00380,first
AB,DonA__EMOJOO_00385,10,10,DonA,EMOJOO_00385,first
AB,DonA__EMOJOO_00390,10,10,DonA,EMOJOO_00390,first
AB,DonA__EMOJOO_00395,10,10,DonA,EMOJOO_00395,first
AB,DonA__EMOJOO_00400,10,10,DonA,EMOJOO_00400,first
AB,DonA__EMOJOO_00405,10,10,DonA,EMOJOO_00405,first
AB,DonA__EMOJOO_00410,10,10,DonA,EMOJOO_00410,first
AB,DonA__EMOJOO_00415,10,10,DonA,EMOJOO_00415,first
AB,DonA__EMOJOO_00420,10,10,DonA,EMOJOO_00420,first
AB,DonA__EMOJOO_00425,10,10,DonA,EMOJOO_00425,first
AB,DonA__EMOJOO_00430,10,10,DonA,EMOJOO_00430,first
AB,DonA__EMOJOO_00435,10,10,DonA,EMOJOO_00435,first
AB,DonA__EMOJOO_00440,10,10,DonA,EMOJOO_00440,first
AB,DonA__EMOJOO_00445,10,10,DonA,EMOJOO_00445,first
AB,DonA__EMOJOO_00450,10,10,DonA,EMOJOO_00450,first
AB,DonA__EMOJOO_00455,10,10,DonA,EMOJOO_00455,first
AB,DonA__EMOJOO_00460,10,10,DonA,EMOJOO_00460,first
AB,DonA__EMOJOO_00465,10,10,DonA,EMOJOO_00465,first
AB,DonA__EMOJOO_00470,10,10,DonA,EMOJOO_00470,first
AB,DonA__EMOJOO_00475,10,10,DonA,EMOJOO_00475,first
AB,DonA__EMOJOO_00480,10,10,DonA,EMOJOO_00480,first
AB,DonA__EMOJOO_00485,10,10,DonA,EMOJOO_00485,first
AB,DonA__EMOJOO_00490,10,10,DonA,EMOJOO_00490,first
AB,DonA__EMOJOO_00495,10,10,DonA,EMOJOO_00495,first
AB,DonA__EMOJOO_00500,10,10,DonA,EMOJOO_00500,first
AB,DonA__EMOJOO_00505,10,10,DonA,EMOJOO_00505,first
AB,DonA__EMOJOO_00510,10,10,DonA,EMOJOO_00510,first
AB,DonA__EMOJOO_00515,10,10,DonA,EMOJOO_00515,first
AB,DonA__EMOJOO_00520,10,10,DonA,EMOJOO_00520,first
AB,DonA__EMOJOO_00525,10,10,DonA,EMOJOO_00525,first
AB,DonA__EMOJOO_00530,10,10,DonA,EMOJOO_00530,first
AB,DonA__EMOJOO_00535,10,10,DonA,EMOJOO_00535,first
AB,DonA__EMOJOO_00540,10,10,DonA,EMOJOO_00540,first
AB,DonA__EMOJOO_00545,10,10,DonA,EMOJOO_00545,first
AB,DonA__EMOJOO_00550,10,10,DonA,EMOJOO_00550,first
AB,DonA__EMOJOO_00555,10,10,DonA,EMOJOO_00555,first
AB,DonA__EMOJOO_00560,10,10,DonA,EMOJOO_00560,first
AB,DonA__EMOJOO_00565,10,10,DonA,EMOJOO_00565,first
AB,DonA__EMOJOO_00570,10,10,DonA,EMOJOO_00570,first
