gene_id	Donor	ptype
EMOJOO_00005	DonA	AB
EMOJOO_00010	DonA	AB-BA
EMOJOO_00015	DonA	AB
EMOJOO_00020	DonA	AB
EMOJOO_00035	DonA	AB-BA
EMOJOO_00040	DonA	AB
EMOJOO_00045	DonA	AB
EMOJOO_00050	DonA	AB-BA
EMOJOO_00055	DonA	AB
EMOJOO_00065	DonA	AB-ABAB
EMOJOO_00070	DonA	AB
EMOJOO_00075	DonA	AB-ABAB
EMOJOO_00080	DonA	AB-BA
EMOJOO_00085	DonA	AB-ABAB
EMOJOO_00090	DonA	All
EMOJOO_00095	DonA	AB
EMOJOO_00110	DonA	All
EMOJOO_00115	DonA	AB-ABAB
EMOJOO_00120	DonA	AB-ABAB
EMOJOO_00130	DonA	All
EMOJOO_00145	DonA	AB-BA
EMOJOO_00150	DonA	AB-BA
EMOJOO_00155	DonA	All
EMOJOO_00160	DonA	AB-BA
EMOJOO_00165	DonA	All
EMOJOO_00170	DonA	AB-BA
EMOJOO_00175	DonA	AB-BA
EMOJOO_00180	DonA	AB
EMOJOO_00190	DonA	AB
EMOJOO_00195	DonA	AB
EMOJOO_00200	DonA	AB
EMOJOO_00205	DonA	AB-BA
EMOJOO_00210	DonA	All
EMOJOO_00215	DonA	All
EMOJOO_00220	DonA	AB-BA
EMOJOO_00225	DonA	AB-BA
EMOJOO_00230	DonA	All
EMOJOO_00235	DonA	AB-BA
EMOJOO_00240	DonA	All
EMOJOO_00245	DonA	AB-BA
EMOJOO_00250	DonA	AB-BA
EMOJOO_00260	DonA	AB
EMOJOO_00265	DonA	AB-BA
EMOJOO_00295	DonA	All
EMOJOO_00315	DonA	All
EMOJOO_00330	DonA	AB-BA
EMOJOO_00335	DonA	All
EMOJOO_00340	DonA	AB
EMOJOO_00345	DonA	AB-BA
EMOJOO_00350	DonA	AB
EMOJOO_00355	DonA	AB-ABAB
EMOJOO_00360	DonA	AB
EMOJOO_00365	DonA	AB
EMOJOO_00370	DonA	All
EMOJOO_00375	DonA	AB-ABAB
EMOJOO_00380	DonA	AB-BA
EMOJOO_00385	DonA	AB-BA
EMOJOO_00390	DonA	AB-BA
EMOJOO_00395	DonA	AB
EMOJOO_00400	DonA	AB-ABAB
EMOJOO_00405	DonA	AB
EMOJOO_00410	DonA	AB-BA
EMOJOO_00415	DonA	AB
EMOJOO_00420	DonA	AB
